ANOMES,ANOEXERCICIO,MES,NOMEORGAO,CNPJORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA
201103,2011,Mar,"AG. GOIANA DE TRANSP. E OBRAS PUBLICAS",3520933000106,Indireta,Executivo,83.33,"ALIENACAO DE BENS",
201103,2011,Mar,"ESTADO DE GOIAS",,N/A,N/A,208916.65,"ALIENACAO DE BENS",765177.8
201103,2011,Mar,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,113916.67,"ALIENACAO DE BENS",62927.8
201103,2011,Mar,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,5999.99,"ALIENACAO DE BENS",0.0
201103,2011,Mar,"FUNDO EST. DE SEGURANÇA PÚBLICA-FUNESP",2658753000114,Direta,Executivo,149666.66,"ALIENACAO DE BENS",702250.0
201103,2011,Mar,"FUNDO PENINT. ESTADUAL - FUNPES",10879198000189,Indireta,Executivo,83.33,"ALIENACAO DE BENS",
201103,2011,Mar,"AG. GOIANA DE REG. CONT. E FISC. S.PUBL",3537650000169,Indireta,Executivo,833.33,"ALIENACAO DE BENS MOVEIS",
201103,2011,Mar,"ESTADO DE GOIAS",,N/A,N/A,96916.65000000001,"ALIENACAO DE BENS MOVEIS",702250.0
201103,2011,Mar,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,1916.67,"ALIENACAO DE BENS MOVEIS",0.0
201103,2011,Mar,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,82833.32,"ALIENACAO DE BENS MOVEIS",702250.0
201103,2011,Mar,FUNDESP-PJ,2050330000117,Direta,Judiciário,13083.33,"ALIENACAO DE BENS MOVEIS",
201103,2011,Mar,"FUNDO EST. DE SEGURANÇA PÚBLICA-FUNESP",2658753000114,Direta,Executivo,149666.66,"ALIENACAO DE BENS MOVEIS",702250.0
201103,2011,Mar,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,219000.0,"ALIENACAO DE IMOVEIS RURAIS",125855.6
201103,2011,Mar,"ESTADO DE GOIAS",,N/A,N/A,193166.62,"ALIENACAO DE OUTROS BENS MOVEIS",1404500.0
