ANOMES,ANOEXERCICIO,MES,NOMEORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,CNPJORGAO,RECEITAREALIZADA
201306,2013,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,1738499.99,"ALIENACAO DE BENS",,
201306,2013,Jun,"FUNDO CAP. SERV. E MOD. - FUNCAM",Direta,Executivo,133333.33000000002,"ALIENACAO DE BENS",13301077000143,
201306,2013,Jun,"FUNDO ESTADUAL DE DESENVOL.DO NORDESTE",Direta,Executivo,133333.33000000002,"ALIENACAO DE BENS",4916251000171,
201306,2013,Jun,FUNEBOM,Indireta,Executivo,8333.33,"ALIENACAO DE BENS",14786724000117,
201306,2013,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,250.0,"ALIENACAO DE BENS IMOVEIS",,
201306,2013,Jun,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",Direta,Executivo,2500000.0,"ALIENACAO DE BENS IMOVEIS",3280530000129,
201306,2013,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,10916.66,"ALIENACAO DE BENS MOVEIS",,
201306,2013,Jun,"FUNDO CAP. SERV. E MOD. - FUNCAM",Direta,Executivo,133333.33000000002,"ALIENACAO DE BENS MOVEIS",13301077000143,
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,120000.0,"ALIENACAO DE IMOVEIS RURAIS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,1786666.6600000001,"ALIENACAO DE IMOVEIS RURAIS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,416833.33,"ALIENACAO DE IMOVEIS URBANOS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,166.67000000000002,"ALIENACAO DE OUTROS BENS IMOVEIS",,
201306,2013,Jun,"AG. GOIANA DE REG. CONT. E FISC. S.PUBL",Indireta,Executivo,4166.66,"ALIENACAO DE OUTROS BENS MOVEIS",3537650000169,
201306,2013,Jun,"ESTADO DE GOIAS",N/A,N/A,1005833.3,"ALIENACAO DE OUTROS BENS MOVEIS",,
201306,2013,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,7000.0,"ALIENACAO DE OUTROS BENS MOVEIS",1409655000180,
201306,2013,Jun,"FUNDO EST. DE SEGURANÇA PÚBLICA-FUNESP",Direta,Executivo,1000000.0,"ALIENACAO DE OUTROS BENS MOVEIS",2658753000114,
201306,2013,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,83.33,"ALIENAÇÃO DE IMÓVEIS URBANOS",,0.0
201306,2013,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,83.33,"ALIENAÇÃO DE IMÓVEIS URBANOS",1409655000180,0.0
201306,2013,Jun,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",Indireta,Executivo,166.67000000000002,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",3521741000106,
201306,2013,Jun,EMATER,Indireta,Executivo,166.67000000000002,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",13232306000115,
201306,2013,Jun,"AGENCIA GOIANA DE ESPORTE E LAZER",Indireta,Executivo,,ALUGUEIS,5470294000139,62792.0
201306,2013,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,187000.0,ALUGUEIS,,235670.78
201306,2013,Jun,"ESTADO DE GOIAS - PODER JUDICIARIO",N/A,N/A,63333.340000000004,ALUGUEIS,,83984.94
201306,2013,Jun,"ESTADO DE GOIAS - PODER LEGISLATIVO",N/A,N/A,15833.34,ALUGUEIS,,18611.420000000002
201306,2013,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,38333.340000000004,ALUGUEIS,,94726.5
201306,2013,Jun,"FUNDO DE MODERNIZACAO DO MINIST PUBLICO",Direta,N/A,7666.66,ALUGUEIS,7004223000176,4911.3
201306,2013,Jun,"FUNDO ESP. DE REAPARELHAMENTO DO T.C.M.",Direta,Legislativo,7500.0,ALUGUEIS,6881263000133,6200.0
