ANOMES,ANOEXERCICIO,MES,NOMEORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA,CNPJORGAO
201509,2015,Set,"ESTADO DE GOIAS",N/A,N/A,3.418241667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",3.575712828E7,
201509,2015,Set,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,3.418241667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",3.575712828E7,
201509,2015,Set,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,3.418241667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",3.575712828E7,
201509,2015,Set,"FUNDO SOCIAL DE LOTERIA",Direta,Executivo,3.418241667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",,4354889000166
201509,2015,Set,"PROTEGE GOIAS",Direta,Executivo,3.418241667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",3.575712828E7,6084202000145
201509,2015,Set,"ESTADO DE GOIAS",N/A,N/A,6916666.67,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA",,
201509,2015,Set,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,6916666.67,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA",,
201509,2015,Set,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,6916666.67,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA",,
201509,2015,Set,"FUNDO ESPECIAL DE SAUDE - FUNESA",Direta,Executivo,6916666.67,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA",,544963000156
201509,2015,Set,"FUNDO ESTADUAL DE SAUDE- FES",Direta,Executivo,6916666.67,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA",,544963000156
201509,2015,Set,AGRODEFESA,Indireta,Executivo,17250.0,"ALIENACAO DE BENS",,6064227000187
201509,2015,Set,EMATER,Indireta,Executivo,166.67000000000002,"ALIENACAO DE BENS",,13232306000115
201509,2015,Set,"ESTADO DE GOIAS",N/A,N/A,2.084733333E7,"ALIENACAO DE BENS",5743.63,
201509,2015,Set,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,2.082983333E7,"ALIENACAO DE BENS",5743.63,
201509,2015,Set,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,2.084733333E7,"ALIENACAO DE BENS",5743.63,
