ANOMES;ANOEXERCICIO;MES;NOMEORGAO;TIPOADMINISTRACAO;TIPOPODER;RECEITAPREVISTAATUALIZADA;NATUREZARECEITA;RECEITAREALIZADA;CNPJORGAO
201512;2015;Dez;"ESTADO DE GOIAS";N/A;N/A;34182416,63;"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA";38857022,83;
201512;2015;Dez;"ESTADO DE GOIAS - FUNDOS ESPECIAIS";N/A;N/A;34182416,63;"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA";38857022,83;
201512;2015;Dez;"ESTADO DE GOIAS - PODER EXECUTIVO";N/A;N/A;34182416,63;"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA";38857022,83;
201512;2015;Dez;"FUNDO SOCIAL DE LOTERIA";Direta;Executivo;34182416,63;"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA";;4354889000166
201512;2015;Dez;"PROTEGE GOIAS";Direta;Executivo;34182416,63;"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA";38857022,83;6084202000145
201512;2015;Dez;"ESTADO DE GOIAS";N/A;N/A;6916666,63;"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA";;
201512;2015;Dez;"ESTADO DE GOIAS - FUNDOS ESPECIAIS";N/A;N/A;6916666,63;"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA";;
201512;2015;Dez;"ESTADO DE GOIAS - PODER EXECUTIVO";N/A;N/A;6916666,63;"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA";;
201512;2015;Dez;"FUNDO ESPECIAL DE SAUDE - FUNESA";Direta;Executivo;6916666,63;"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA";;544963000156
201512;2015;Dez;"FUNDO ESTADUAL DE SAUDE- FES";Direta;Executivo;6916666,63;"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA";;544963000156
201512;2015;Dez;AGRODEFESA;Indireta;Executivo;17250;"ALIENACAO DE BENS";;6064227000187
201512;2015;Dez;EMATER;Indireta;Executivo;166,63;"ALIENACAO DE BENS";;13232306000115
201512;2015;Dez;"ESTADO DE GOIAS";N/A;N/A;20847333,37;"ALIENACAO DE BENS";249073,49;
201512;2015;Dez;"ESTADO DE GOIAS - ADMINISTRACAO DIRETA";N/A;N/A;20829833,37;"ALIENACAO DE BENS";249073,49;
201512;2015;Dez;"ESTADO DE GOIAS - PODER EXECUTIVO";N/A;N/A;20847333,37;"ALIENACAO DE BENS";249073,49;
201512;2015;Dez;"ESTADO DE GOIAS - TESOURO ESTADUAL";N/A;Executivo;20829833,37;"ALIENACAO DE BENS";249073,49;1409655000180
201512;2015;Dez;"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA";N/A;N/A;17500;"ALIENACAO DE BENS";;
201512;2015;Dez;TRANSURB;Indireta;Executivo;83,37;"ALIENACAO DE BENS";;2102168000133
201512;2015;Dez;"UNIVERSIDADE ESTADUAL DE GOIÁS - UEG";Indireta;Executivo;83,37;"ALIENACAO DE BENS";;1112580000171
201512;2015;Dez;EMATER;Indireta;Executivo;83,37;"ALIENACAO DE BENS IMOVEIS";;13232306000115
201512;2015;Dez;"ESTADO DE GOIAS";N/A;N/A;20829000,11;"ALIENACAO DE BENS IMOVEIS";249073,49;
201512;2015;Dez;"ESTADO DE GOIAS - ADMINISTRACAO DIRETA";N/A;N/A;20828833,37;"ALIENACAO DE BENS IMOVEIS";249073,49;
201512;2015;Dez;"ESTADO DE GOIAS - PODER EXECUTIVO";N/A;N/A;20829000,11;"ALIENACAO DE BENS IMOVEIS";249073,49;
201512;2015;Dez;"ESTADO DE GOIAS - TESOURO ESTADUAL";N/A;Executivo;20828833,37;"ALIENACAO DE BENS IMOVEIS";249073,49;1409655000180
201512;2015;Dez;"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA";N/A;N/A;166,74;"ALIENACAO DE BENS IMOVEIS";;
201512;2015;Dez;TRANSURB;Indireta;Executivo;83,37;"ALIENACAO DE BENS IMOVEIS";;2102168000133
201512;2015;Dez;"UNIVERSIDADE ESTADUAL DE GOIÁS - UEG";Indireta;Executivo;83,37;"ALIENACAO DE BENS IMOVEIS";;1112580000171
201512;2015;Dez;AGRODEFESA;Indireta;Executivo;17250;"ALIENACAO DE BENS MOVEIS";;6064227000187
201512;2015;Dez;EMATER;Indireta;Executivo;83,37;"ALIENACAO DE BENS MOVEIS";;13232306000115
201512;2015;Dez;"ESTADO DE GOIAS";N/A;N/A;18333,37;"ALIENACAO DE BENS MOVEIS";;
201512;2015;Dez;"ESTADO DE GOIAS - ADMINISTRACAO DIRETA";N/A;N/A;1000;"ALIENACAO DE BENS MOVEIS";;
201512;2015;Dez;"ESTADO DE GOIAS - PODER EXECUTIVO";N/A;N/A;18333,37;"ALIENACAO DE BENS MOVEIS";;
201512;2015;Dez;"ESTADO DE GOIAS - TESOURO ESTADUAL";N/A;Executivo;1000;"ALIENACAO DE BENS MOVEIS";;1409655000180
201512;2015;Dez;"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA";N/A;N/A;17333,37;"ALIENACAO DE BENS MOVEIS";;
201512;2015;Dez;"ESTADO DE GOIAS";N/A;N/A;7501666,74;"ALIENACAO DE IMOVEIS RURAIS";0;
201512;2015;Dez;"ESTADO DE GOIAS - ADMINISTRACAO DIRETA";N/A;N/A;7501666,74;"ALIENACAO DE IMOVEIS RURAIS";0;
201512;2015;Dez;"ESTADO DE GOIAS - PODER EXECUTIVO";N/A;N/A;7501666,74;"ALIENACAO DE IMOVEIS RURAIS";0;
201512;2015;Dez;"ESTADO DE GOIAS - TESOURO ESTADUAL";N/A;Executivo;7501666,74;"ALIENACAO DE IMOVEIS RURAIS";0;1409655000180
201512;2015;Dez;"ESTADO DE GOIAS";N/A;N/A;17078083,37;"ALIENACAO DE IMOVEIS URBANOS";249073,49;
201512;2015;Dez;"ESTADO DE GOIAS - ADMINISTRACAO DIRETA";N/A;N/A;17078000;"ALIENACAO DE IMOVEIS URBANOS";249073,49;
201512;2015;Dez;"ESTADO DE GOIAS - PODER EXECUTIVO";N/A;N/A;17078083,37;"ALIENACAO DE IMOVEIS URBANOS";249073,49;
